aty,nc_ratio,nuclear_area,cyto_area,category
0.057021763,0.1419277487322615,7221.0,43657.0,neg
0.037513286,0.17562475437501446,7597.0,35660.0,neg
0.05697103,0.15078207310154793,7442.0,41914.0,neg
0.07702033,0.18243680417661365,8177.0,36644.0,neg
0.111038566,0.1837118411323545,8696.0,38639.0,neg
0.076211415,0.18733645878761448,6873.0,29815.0,neg
0.1934599,0.21321480434867932,10865.0,40093.0,neg
0.05050453,0.14480024531277377,6611.0,39045.0,neg
0.2499386,0.23034225488213217,10250.0,34249.0,neg
0.08848155,0.29252056626260864,10063.0,24338.0,neg
0.07454869,0.21854210898796886,10808.0,38647.0,neg
0.07529519,0.19772714117578963,10248.0,41581.0,neg
0.033676054,0.1490991786628985,6753.0,38539.0,neg
0.017221823,0.19245465951864948,6749.0,28319.0,neg
0.05766472,0.13323767758624175,6593.0,42890.0,neg
0.17553622,0.263356512890095,12422.0,34746.0,neg
0.036631923,0.1476916469830363,6878.0,39692.0,neg
0.05987806,0.1474516049987748,7221.0,41751.0,neg
0.057112202,0.22853605105248118,11997.0,40498.0,neg
0.03662485,0.1935908782184535,9406.0,39181.0,neg
0.07257314,0.1751618794620621,8440.0,39744.0,neg
0.045035586,0.13472680891455238,6813.0,43756.0,neg
0.050974973,0.20448134758253544,10294.0,40048.0,neg
0.044484597,0.18548418855590124,9420.0,41366.0,neg
0.042224,0.15107954014393868,8082.0,45413.0,neg
0.1537729,0.42687162953154084,22243.0,29864.0,pos
0.91942114,0.45060153117025153,21012.0,25619.0,pos
0.6816385,0.43251612352112073,20253.0,26573.0,pos
0.5054563,0.4612488666377577,23401.0,27333.0,pos
0.1789105,0.4628637743260132,20740.0,24068.0,pos
0.18416026,0.46794491459263654,14985.0,17038.0,pos
0.9822397,0.5231974537887134,21370.0,19475.0,pos
0.35442215,0.42845088706187795,19803.0,26417.0,pos
0.9937201,0.56361791755806,25555.0,19786.0,pos
0.23512588,0.8240375307171047,44264.0,9452.0,pos
0.37244412,0.5428872901678657,28298.0,23827.0,pos
0.21077986,0.48495495495495494,21532.0,22868.0,pos
0.18609796,0.42950434578341556,18284.0,24286.0,pos
0.1567041,0.4758487972508591,17309.0,19066.0,pos
0.18657707,0.42598674145843957,20884.0,28141.0,pos
0.7562685,0.6409384913278128,31115.0,17431.0,pos
0.26267254,0.4288119738072965,22920.0,30530.0,pos
0.05566138,0.4286950501903773,22293.0,29709.0,pos
0.10619845,0.5540674122458473,28586.0,23007.0,pos
0.17877835,0.4841783371742599,21850.0,23278.0,pos
0.1766688,0.44827427519558216,19482.0,23978.0,pos
0.09204058,0.4261345824035997,23108.0,31119.0,pos
0.05106705,0.5004327538195228,26597.0,26551.0,pos
0.15578109,0.4645728421238625,21034.0,24242.0,pos
0.5070056,0.432996026055963,21138.0,27680.0,pos
0.03253787,0.15951993741894313,7749.0,40828.0,aty
0.0589791,0.2021678190992338,10818.0,42692.0,aty
0.048006635,0.1771849265682517,4669.0,21682.0,aty
0.114288785,0.2157593599392227,9088.0,33033.0,aty
0.09447558,0.22255697936026606,11376.0,39739.0,aty
0.04862667,0.2334784241808259,10567.0,34692.0,aty
0.1369178,0.2943591427867641,14340.0,34376.0,aty
0.09422108,0.16313026358963142,5966.0,30606.0,aty
0.6673358,0.34938214035905807,14985.0,27905.0,aty
0.9564035,0.7006398800945408,36462.0,15579.0,aty
0.06387007,0.3090945115910442,6240.0,13948.0,aty
0.36508688,0.2678359600067785,12644.0,34564.0,aty
0.10077632,0.1738419239202311,4995.0,23738.0,aty
0.12392307,0.25718831153639193,10993.0,31750.0,aty
0.04580077,0.15294989501420397,7430.0,41148.0,aty
0.12467539,0.4076832342669473,17627.0,25610.0,aty
0.049535204,0.16823125594475,8136.0,40226.0,aty
0.48359686,0.1658471166741171,6678.0,33588.0,aty
0.39209348,0.32836769664474047,11881.0,24301.0,aty
0.035484347,0.26554140127388537,8338.0,23062.0,aty
0.043333195,0.19744181170056616,9416.0,38274.0,aty
0.08082236,0.15440336994606513,7844.0,42958.0,aty
0.4350796,0.281072912731394,12648.0,32351.0,aty
0.081046864,0.23034196481518088,11653.0,38937.0,aty
0.035317335,0.18058859893969764,9640.0,43741.0,aty
0.08048145,0.3096349513146858,16981.0,37861.0,sus
0.9714699,0.3611190070115596,15245.0,26971.0,sus
0.32341805,0.3252032520325203,12400.0,25730.0,sus
0.081589215,0.37962696171651394,19763.0,32296.0,sus
0.07932915,0.38328824233822684,17284.0,27810.0,sus
0.102966785,0.38947118147054743,19657.0,30814.0,sus
0.11982448,0.4320542807172809,20504.0,26953.0,sus
0.17326725,0.31258508098723536,15844.0,34843.0,sus
0.7306286,0.5008743252489927,19764.0,19695.0,sus
0.9969793,0.7037927453167673,36593.0,15401.0,sus
0.16821647,0.44490972872701895,24224.0,30223.0,sus
0.104915194,0.4103017093036595,17883.0,25702.0,sus
0.11761969,0.3218716513870699,13517.0,28478.0,sus
0.7124435,0.4078440808469682,16950.0,24610.0,sus
0.06442639,0.3013784094675479,15458.0,35833.0,sus
0.3400387,0.6258411382976902,36551.0,21852.0,sus
0.35494307,0.31742222798711545,14683.0,31574.0,sus
0.22275394,0.3138771341018532,12906.0,28212.0,sus
0.21397617,0.4775321785781123,22965.0,25126.0,sus
0.08017792,0.41011551940466406,18958.0,27268.0,sus
0.14324817,0.35906958561376073,16533.0,29511.0,sus
0.07984721,0.3042771282726824,14783.0,33801.0,sus
0.5193529,0.42454381391618207,21172.0,28698.0,sus
0.49836665,0.3863908796449795,15150.0,24059.0,sus
0.22694087,0.32773295504920646,14786.0,30330.0,sus
